2,32,128
3,72,304
4,128,512
5,200,743
6,288,992
7,392,1257
8,512,1536
9,648,1825
10,800,2126
11,968,2435
12,1152,2753
13,1352,3078
14,1568,3411
15,1800,3750
16,2048,4096
17,2312,4447
18,2592,4803
19,2888,5165
20,3200,5532
21,3528,5903
22,3872,6278
23,4232,6658
24,4608,7042
25,5000,7430
26,5408,7821
27,5832,8216
28,6272,8614
29,6728,9016
30,7200,9421
31,7688,9829
32,8192,10240
33,8712,10653
34,9248,11070
35,9800,11489
36,10368,11911
37,10952,12335
38,11552,12762
39,12168,13192
40,12800,13624
41,13448,14058
42,14112,14494
43,14792,14933
44,15488,15373
45,16200,15816
46,16928,16261
47,17672,16708
48,18432,17157
49,19208,17607
50,20000,18060
51,20808,18514
52,21632,18971
53,22472,19429
54,23328,19888
55,24200,20350
56,25088,20813
57,25992,21278
58,26912,21744
59,27848,22212
60,28800,22682
61,29768,23153
62,30752,23626
63,31752,24100
64,32768,24576
65,33800,25053
66,34848,25531
67,35912,26011
68,36992,26492
69,38088,26975
70,39200,27459
71,40328,27944
72,41472,28431
73,42632,28918
74,43808,29407
75,45000,29898
76,46208,30389
77,47432,30882
78,48672,31376
79,49928,31871
80,51200,32368
81,52488,32865
82,53792,33364
83,55112,33864
84,56448,34365
85,57800,34867
86,59168,35370
87,60552,35874
88,61952,36379
89,63368,36885
90,64800,37393
91,66248,37901
92,67712,38410
93,69192,38921
94,70688,39432
95,72200,39944
96,73728,40458
97,75272,40972
98,76832,41487
99,78408,42003
